Function / Call Stack,Effective Time,Spin Time,Overhead Time,Module,Function (Full),Source File,Start Address
SUPPLYADJUSTMENT_mp_ADJUST,0.0339048,0,0,Simulation2015_x64.exe,SUPPLYADJUSTMENT_mp_ADJUST,SupplyAdjustment.f90,0x1408e9720
for_realloc_lhs,0.033862,0,0,Simulation2015_x64.exe,for_realloc_lhs,[Unknown],0x1400240b0
func@0x1400f50d0,0.0338503,0,0,Simulation2015_x64.exe,func@0x1400f50d0,[Unknown],0x1400f50d0
func@0x1400f35d0,0.0338203,0,0,Simulation2015_x64.exe,func@0x1400f35d0,[Unknown],0x1400f35d0
H5S_select_shape_same,0.0333116,0,0,Simulation2015_x64.exe,H5S_select_shape_same,[Unknown],0x1400f86c0
IOINTERFACE_mp_WRITESCALARDATA,0.0324609,0,0,Simulation2015_x64.exe,IOINTERFACE_mp_WRITESCALARDATA,IOInterface_NoDSS.f90,0x14057e320
func@0x1401bee60,0.0320794,0,0,Simulation2015_x64.exe,func@0x1401bee60,[Unknown],0x1401bee60
CLASS_APPGW_mp_GETTILEDRAINFLOWSTOSTREAMS,0.0299267,0,0,Simulation2015_x64.exe,CLASS_APPGW_mp_GETTILEDRAINFLOWSTOSTREAMS,Class_AppGW.f90,0x140913e30
SUPPLYADJUSTMENT_mp_ISPUMPINGADJUSTABLE,0.0299086,0,0,Simulation2015_x64.exe,SUPPLYADJUSTMENT_mp_ISPUMPINGADJUSTABLE,SupplyAdjustment.f90,0x1408ec600
for_alloc_allocatable,0.0295247,0,0,Simulation2015_x64.exe,for_alloc_allocatable,[Unknown],0x140015f10
func@0x1400f2820,0.0289444,0,0,Simulation2015_x64.exe,func@0x1400f2820,[Unknown],0x1400f2820
func@0x14019bcb0,0.0286707,0,0,Simulation2015_x64.exe,func@0x14019bcb0,[Unknown],0x14019bcb0
PACKAGE_APPSMALLWATERSHED_mp_SIMULATE,0.0286075,0,0,Simulation2015_x64.exe,PACKAGE_APPSMALLWATERSHED_mp_SIMULATE,Package_AppSmallWatershed.f90,0x140915c60
for__put_sf,0.0285851,0,0,Simulation2015_x64.exe,for__put_sf,[Unknown],0x140076200
for_f90_index,0.0282169,0,0,Simulation2015_x64.exe,for_f90_index,[Unknown],0x140023af0
func@0x1400f49f0,0.027784,0,0,Simulation2015_x64.exe,func@0x1400f49f0,[Unknown],0x1400f49f0
