Function / Call Stack,CPU Time,Module,Function (Full),Source File,Start Address
SUPPLYADJUSTMENT_mp_ADJUSTSUPPLIES,0.10797,Simulation2015_x64.exe,SUPPLYADJUSTMENT_mp_ADJUSTSUPPLIES,SupplyAdjustment.f90,0x1408efc00
aligned_free,0.107742,Simulation2015_x64.exe,aligned_free,align.c,0x14094497c
ROOTZONE_V41_mp_REGIONALDELIVERIES,0.10764,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALDELIVERIES,RootZone_v41.f90,0x1407213f0
ADJUSTSUPPLIES_ip_ADJUST,0.107569,Simulation2015_x64.exe,ADJUSTSUPPLIES_ip_ADJUST,SupplyAdjustment.f90,0x1408f0860
CLASS_TECPLOTOUTPUT_mp_PRINTRESULTS,0.105819,Simulation2015_x64.exe,CLASS_TECPLOTOUTPUT_mp_PRINTRESULTS,Class_TecplotOutput.f90,0x1408c39a0
PACKAGE_APPPUMPING_mp_GETSUBREGIONALPUMPING,0.104365,Simulation2015_x64.exe,PACKAGE_APPPUMPING_mp_GETSUBREGIONALPUMPING,Package_AppPumping.f90,0x1408c1f40
FlsGetValue,0.104212,KERNEL32.DLL,FlsGetValue,[Unknown],0x180007350
PACKAGE_APPUNSATZONE_mp_PRINTRESULTSTOBUDFILE,0.0989676,Simulation2015_x64.exe,PACKAGE_APPUNSATZONE_mp_PRINTRESULTSTOBUDFILE,Package_AppUnsatZone.f90,0x1408cbe40
CLASS_ELEMTORECVLOSS_mp_ELEMTORECVLOSS_GETELEMS,0.0976456,Simulation2015_x64.exe,CLASS_ELEMTORECVLOSS_mp_ELEMTORECVLOSS_GETELEMS,Class_ElemToRecvLoss.f90,0x1405943e0
ROOTZONE_V41_mp_ROOTZONE_V41_GETWATERSUPPLY_URB,0.09639,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_GETWATERSUPPLY_URB,RootZone_v41.f90,0x1405234f0
func@0x140028ab0,0.0959214,Simulation2015_x64.exe,func@0x140028ab0,[Unknown],0x140028ab0
ROOTZONE_V41_mp_PROCESSLANDUSEAREAS,0.091737,Simulation2015_x64.exe,ROOTZONE_V41_mp_PROCESSLANDUSEAREAS,RootZone_v41.f90,0x1405401d0
CLASS_APPDIVERBYPASS_mp_APPDIVERBYPASS_COMPUTEBYPASS,0.0887088,Simulation2015_x64.exe,CLASS_APPDIVERBYPASS_mp_APPDIVERBYPASS_COMPUTEBYPASS,Class_AppDiverBypass.f90,0x1405d2b40
H5SL_search,0.08869,Simulation2015_x64.exe,H5SL_search,[Unknown],0x1401a3050
PACKAGE_APPUNSATZONE_mp_UPDATESTORAGE,0.0875927,Simulation2015_x64.exe,PACKAGE_APPUNSATZONE_mp_UPDATESTORAGE,Package_AppUnsatZone.f90,0x140917990
CLASS_BASEAPPSTREAM_mp_GETELEMRECVLOSSES,0.0838748,Simulation2015_x64.exe,CLASS_BASEAPPSTREAM_mp_GETELEMRECVLOSSES,Class_BaseAppStream.f90,0x140590a80
CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_GETREGIONALRVETFROMSTRM,0.0827964,Simulation2015_x64.exe,CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_GETREGIONALRVETFROMSTRM,Class_NativeRiparianLandUseGW.f90,0x140739b90
