"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"PACKAGE_MATRIX_mp_UPDATERHS_RANDOM","10.9513","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATERHS_RANDOM","Package_Matrix.f90","0x14090dee0"
"RAINFALLRUNOFF_mp_SCSMETHOD_HELP","10.3318","Simulation2015_x64.exe","RAINFALLRUNOFF_mp_SCSMETHOD_HELP","RainfallRunoff.f90","0x140505690"
"RtlRestoreLastWin32Error","9.55563","ntdll.dll","RtlRestoreLastWin32Error","[Unknown]","0x180041690"
"getptd_noexit","8.34434","Simulation2015_x64.exe","getptd_noexit","tidtable.c","0x14094830c"
"CLASS_APPBC_mp_GETBOUNDARYFLOWATELEMENTNODELAYER","7.87722","Simulation2015_x64.exe","CLASS_APPBC_mp_GETBOUNDARYFLOWATELEMENTNODELAYER","Class_AppBC.f90","0x1408b1030"
"CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_SINGLELUPERELEM","7.77754","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_SINGLELUPERELEM","Class_BaseRootZone.f90","0x1404cf9c0"
"ROOTZONE_V40_mp_REGIONALDRAIN","7.57467","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALDRAIN","RootZone_v40.f90","0x140629a90"
"FlsGetValue","7.13077","KERNELBASE.dll","FlsGetValue","[Unknown]","0x180057f80"
"CLASS_APPGW_mp_WRITEGWFLOWSTOBUDFILE","7.08244","Simulation2015_x64.exe","CLASS_APPGW_mp_WRITEGWFLOWSTOBUDFILE","Class_AppGW.f90","0x1408bb0f0"
"CLASS_APPSTREAM_V40_mp_APPSTREAM_V40_SIMULATE","6.63496","Simulation2015_x64.exe","CLASS_APPSTREAM_V40_mp_APPSTREAM_V40_SIMULATE","Class_AppStream_v40.f90","0x1407e7d10"
"H5D__chunk_lookup","6.17829","Simulation2015_x64.exe","H5D__chunk_lookup","[Unknown]","0x1401ca720"
"WriteFile","6.02112","KERNELBASE.dll","WriteFile","[Unknown]","0x1800429c0"
"SUPPLYADJUSTMENT_mp_TAGADJUSTABLESUPPLIES","5.77583","Simulation2015_x64.exe","SUPPLYADJUSTMENT_mp_TAGADJUSTABLESUPPLIES","SupplyAdjustment.f90","0x1408f26a0"
"ROOTZONE_V40_mp_REGIONALLUAREA_FORSINGLEREGION","5.25791","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALLUAREA_FORSINGLEREGION","RootZone_v40.f90","0x140590d40"
"PACKAGE_MATRIX_mp_SOLVE","5.22993","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_SOLVE","Package_Matrix.f90","0x1408fe5a0"
"ROOTZONE_V40_mp_ROOTZONE_V40_ZEROSUPPLY","4.98984","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_ZEROSUPPLY","RootZone_v40.f90","0x1405a10b0"
"SUPPLYDESTINATIONCONNECTOR_mp_SUPPLY_SETSUPPLYSPECS","4.7642","Simulation2015_x64.exe","SUPPLYDESTINATIONCONNECTOR_mp_SUPPLY_SETSUPPLYSPECS","SupplyDestinationConnector.f90","0x1408f7410"
"func@0x1400fe8e0","4.57839","Simulation2015_x64.exe","func@0x1400fe8e0","[Unknown]","0x1400fe8e0"
"ROOTZONE_V40_mp_ROOTZONE_V40_SETSUPPLYTOELEM","4.53345","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_SETSUPPLYTOELEM","RootZone_v40.f90","0x140560e20"
"H5T_path_find","4.29619","Simulation2015_x64.exe","H5T_path_find","[Unknown]","0x1400c7930"
"PACKAGE_APPPUMPING_mp_SIMULATE","4.2352","Simulation2015_x64.exe","PACKAGE_APPPUMPING_mp_SIMULATE","Package_AppPumping.f90","0x14090e2a0"
"SUPPLYADJUSTMENT_mp_ADJUSTSUPPLIES","4.14234","Simulation2015_x64.exe","SUPPLYADJUSTMENT_mp_ADJUSTSUPPLIES","SupplyAdjustment.f90","0x1408f0e70"
"for__acquire_semaphore_threaded","4.13767","Simulation2015_x64.exe","for__acquire_semaphore_threaded","[Unknown]","0x140065780"
"CLASS_STRMGWCONNECTOR_V40_mp_STRMGWCONNECTOR_V40_SIMULATE","4.10658","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V40_mp_STRMGWCONNECTOR_V40_SIMULATE","Class_StrmGWConnector_v40.f90","0x14042dde0"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETWATERSUPPLY_AG","4.09977","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETWATERSUPPLY_AG","RootZone_v40.f90","0x140554010"
"CLASS_APPGW_mp_GETNODALPUMPACTUAL","4.09907","Simulation2015_x64.exe","CLASS_APPGW_mp_GETNODALPUMPACTUAL","Class_AppGW.f90","0x140898f80"
"func@0x1400f2c80","3.80926","Simulation2015_x64.exe","func@0x1400f2c80","[Unknown]","0x1400f2c80"
"CLASS_APPGW_mp_GETELEMENTDEPTHTOGW","3.70023","Simulation2015_x64.exe","CLASS_APPGW_mp_GETELEMENTDEPTHTOGW","Class_AppGW.f90","0x140326c60"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETWATERSUPPLY_URB","3.58558","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETWATERSUPPLY_URB","RootZone_v40.f90","0x140554c50"
"CLASS_APPGW_mp_GETSUPPLYADJUSTDATA","3.40546","Simulation2015_x64.exe","CLASS_APPGW_mp_GETSUPPLYADJUSTDATA","Class_AppGW.f90","0x1408f55d0"
"errno","3.34782","Simulation2015_x64.exe","errno","dosmap.c","0x140946014"
"func@0x1400f2db0","3.32679","Simulation2015_x64.exe","func@0x1400f2db0","[Unknown]","0x1400f2db0"
"CLASS_APPGW_mp_GETVERTICALFLOWATNODESLAYER","3.19216","Simulation2015_x64.exe","CLASS_APPGW_mp_GETVERTICALFLOWATNODESLAYER","Class_AppGW.f90","0x1408b2c10"
"CLASS_PAIREDDATA_mp_PAIREDDATA_DERIVATIVE","3.15395","Simulation2015_x64.exe","CLASS_PAIREDDATA_mp_PAIREDDATA_DERIVATIVE","Class_PairedData.f90","0x14040e3d0"
