"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"ROOTZONE_V41_mp_REGIONALDEMAND","2.86088","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALDEMAND","RootZone_v41.f90","0x1404f4600"
"PACKAGE_MATRIX_mp_UPDATERHS_RANDOM","2.85903","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATERHS_RANDOM","Package_Matrix.f90","0x14090dee0"
"ROOTZONE_V41_mp_REGIONALPERC","2.7814","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALPERC","RootZone_v41.f90","0x1406f07d0"
"cvt_ieee_t_to_text_ex","2.76168","Simulation2015_x64.exe","cvt_ieee_t_to_text_ex","[Unknown]","0x1400934c0"
"for__interp_fmt","2.61276","Simulation2015_x64.exe","for__interp_fmt","[Unknown]","0x140085730"
"for__acquire_semaphore_threaded","2.54142","Simulation2015_x64.exe","for__acquire_semaphore_threaded","[Unknown]","0x140065780"
"ROOTZONE_V41_mp_REGIONALPRECIP","2.33846","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALPRECIP","RootZone_v41.f90","0x1406f6e10"
"FlsGetValue","2.32165","KERNELBASE.dll","FlsGetValue","[Unknown]","0x180057f80"
"ROOTZONE_V41_mp_ZEROREDISTRIBUTEDMOIST","2.31449","Simulation2015_x64.exe","ROOTZONE_V41_mp_ZEROREDISTRIBUTEDMOIST","RootZone_v41.f90","0x1404d8080"
"CLASS_APPSTREAM_V42_mp_APPSTREAM_V42_SIMULATE","2.23093","Simulation2015_x64.exe","CLASS_APPSTREAM_V42_mp_APPSTREAM_V42_SIMULATE","Class_AppStream_v42.f90","0x14073c330"
"PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE","2.15447","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE","Class_GWZBudget.f90","0x14035c3e0"
"CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM","2.1521","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM","Class_BaseRootZone.f90","0x1404cef70"
"ROOTZONE_V41_mp_REGIONALRETURN","2.12189","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALRETURN","RootZone_v41.f90","0x1406ec500"
"ROOTZONE_V41_mp_REGIONALSOILMCHANGE","2.04984","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALSOILMCHANGE","RootZone_v41.f90","0x1406f46f0"
"PACKAGE_MODEL_mp_SIMULATEONETIMESTEP","2.03706","Simulation2015_x64.exe","PACKAGE_MODEL_mp_SIMULATEONETIMESTEP","Package_Model.f90","0x1408e3040"
"PROCESSFLOWTYPES_ip_COMPILEFLOWTYPEELEMENTS","2.01363","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_COMPILEFLOWTYPEELEMENTS","Class_GWZBudget.f90","0x14035c950"
"ROOTZONE_V41_mp_REGIONALETA","1.98714","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALETA","RootZone_v41.f90","0x1406f1b70"
"ROOTZONE_V41_mp_COMPUTEDEMANDSUPPLYRELATEDFRACS","1.95688","Simulation2015_x64.exe","ROOTZONE_V41_mp_COMPUTEDEMANDSUPPLYRELATEDFRACS","RootZone_v41.f90","0x1404f0360"
"CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_READTSDATA","1.89246","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_READTSDATA","Class_NonPondedAgLandUseGW.f90","0x1404d01c0"
"ROOTZONE_V41_mp_REGIONALRUNOFF","1.75721","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALRUNOFF","RootZone_v41.f90","0x1406f5750"
"ROOTZONE_V41_mp_REGIONALLUAREA","1.75038","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALLUAREA","RootZone_v41.f90","0x1406db840"
"for_write_int_fmt_xmit","1.69777","Simulation2015_x64.exe","for_write_int_fmt_xmit","[Unknown]","0x14003f3a0"
"CLASS_APPGW_mp_GETELEMENTSTORAGEATLAYER","1.66835","Simulation2015_x64.exe","CLASS_APPGW_mp_GETELEMENTSTORAGEATLAYER","Class_AppGW.f90","0x1408b36d0"
"intel_fast_memcmp","1.60299","Simulation2015_x64.exe","intel_fast_memcmp","[Unknown]","0x1400b86c0"
"CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_SIMULATE","1.54546","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_SIMULATE","Class_StrmGWConnector_v42.f90","0x140443a70"
"for__format_value","1.46009","Simulation2015_x64.exe","for__format_value","[Unknown]","0x140082eb0"
"ROOTZONE_V41_mp_REGIONALETOTH","1.45547","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALETOTH","RootZone_v41.f90","0x1406e06f0"
"CLASS_STRATIGRAPHY_mp_GETACTIVELAYERBELOW","1.43921","Simulation2015_x64.exe","CLASS_STRATIGRAPHY_mp_GETACTIVELAYERBELOW","Class_Stratigraphy.f90","0x140413fa0"
"ReadFile","1.36304","KERNELBASE.dll","ReadFile","[Unknown]","0x180042f60"
"CLASS_APPSUBSIDENCE_mp_UPDATESUBSIDENCE","1.30823","Simulation2015_x64.exe","CLASS_APPSUBSIDENCE_mp_UPDATESUBSIDENCE","Class_AppSubsidence.f90","0x1409191f0"
"ROOTZONE_V41_mp_REGIONALETAW","1.28652","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALETAW","RootZone_v41.f90","0x1406e2290"
"for__get_s","1.28153","Simulation2015_x64.exe","for__get_s","[Unknown]","0x14007c070"
"ROOTZONE_V41_mp_REGIONALETP","1.23346","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALETP","RootZone_v41.f90","0x1406e14c0"
"for_dealloc_allocatable","1.19545","Simulation2015_x64.exe","for_dealloc_allocatable","[Unknown]","0x1400162d0"
"GetLastError","1.12778","KERNELBASE.dll","GetLastError","[Unknown]","0x180013f80"
"for__desc_ret_item","1.10276","Simulation2015_x64.exe","for__desc_ret_item","[Unknown]","0x140078f20"
"ROOTZONE_V41_mp_ROOTZONE_V41_ZEROSUPPLY","1.10177","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_ZEROSUPPLY","RootZone_v41.f90","0x1405059a0"
"ROOTZONE_V41_mp_REGIONALAGRAWDEMAND","1.0639","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALAGRAWDEMAND","RootZone_v41.f90","0x1406deb80"
"CLASS_APPGW_mp_COMPUTEREGIONALSTORAGE","1.03464","Simulation2015_x64.exe","CLASS_APPGW_mp_COMPUTEREGIONALSTORAGE","Class_AppGW.f90","0x140325f10"
"CLASS_GRID_mp_FEINTERPOLATE","1.02583","Simulation2015_x64.exe","CLASS_GRID_mp_FEINTERPOLATE","Class_Grid.f90","0x1402f37c0"
"CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_COMPUTEWATERDEMAND","0.965882","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_COMPUTEWATERDEMAND","Class_PondedAgLandUseGW.f90","0x1404ef080"
