"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"CLASS_PAIREDDATA_mp_PAIREDDATA_INTERPOLATE","0.465844","Simulation2015_x64.exe","CLASS_PAIREDDATA_mp_PAIREDDATA_INTERPOLATE","Class_PairedData.f90","0x14047ba90"
"CLASS_PAIREDDATA_mp_PAIREDDATA_DERIVATIVE","0.442775","Simulation2015_x64.exe","CLASS_PAIREDDATA_mp_PAIREDDATA_DERIVATIVE","Class_PairedData.f90","0x14040e3d0"
"for__format_value","0.422396","Simulation2015_x64.exe","for__format_value","[Unknown]","0x140082eb0"
"GetLastError","0.416513","KERNELBASE.dll","GetLastError","[Unknown]","0x180013f80"
"ROOTZONE_V411_mp_WRITELWUSEFLOWSTOZONEBUDRAWFILE","0.414534","Simulation2015_x64.exe","ROOTZONE_V411_mp_WRITELWUSEFLOWSTOZONEBUDRAWFILE","RootZone_v411.f90","0x14070ef60"
"for__desc_ret_item","0.402678","Simulation2015_x64.exe","for__desc_ret_item","[Unknown]","0x140078f20"
"ROOTZONE_V41_mp_REGIONALDEMAND","0.374862","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALDEMAND","RootZone_v41.f90","0x1404f4600"
"SUPPLYDESTINATIONCONNECTOR_mp_SUPPLY_SETSUPPLYSPECS","0.359874","Simulation2015_x64.exe","SUPPLYDESTINATIONCONNECTOR_mp_SUPPLY_SETSUPPLYSPECS","SupplyDestinationConnector.f90","0x1408f7410"
"ROOTZONE_V41_mp_REGIONALAGRAWDEMAND","0.358916","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALAGRAWDEMAND","RootZone_v41.f90","0x1406deb80"
"CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETGWHEADSATSTRMNODES","0.348125","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETGWHEADSATSTRMNODES","Class_StrmGWConnector_v42.f90","0x140441020"
"CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_READTSDATA","0.347405","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_READTSDATA","Class_NonPondedAgLandUseGW.f90","0x1404d01c0"
"ROOTZONE_V41_mp_COMPUTEDEMANDSUPPLYRELATEDFRACS","0.34688","Simulation2015_x64.exe","ROOTZONE_V41_mp_COMPUTEDEMANDSUPPLYRELATEDFRACS","RootZone_v41.f90","0x1404f0360"
"ROOTZONE_V41_mp_ROOTZONE_V41_PRINTRESULTS","0.345759","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_PRINTRESULTS","RootZone_v41.f90","0x1406d6090"
"ROOTZONE_V41_mp_REGIONALREUSE","0.315111","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALREUSE","RootZone_v41.f90","0x1406eda70"
"PACKAGE_MODEL_mp_SIMULATEONETIMESTEP","0.307085","Simulation2015_x64.exe","PACKAGE_MODEL_mp_SIMULATEONETIMESTEP","Package_Model.f90","0x1408e3040"
